Track_URI,Track_Name,Main_Artist,Album,Track_Popularity,Release_Year,Album_Popularity,Artist_Popularity,Artist_Followers,Artist_Genres
spotify:track:1xZdjsAGrY4BUIbIlYy3EX,"Strictly Business",EPMD,"Strictly Business",50,1988,50,49,381705,"east coast hip hop, golden age hip hop, hip hop, old school hip hop"
spotify:track:7nk7oS0G6qG3ofHUAKbg9F,"Da Joint",EPMD,"Back In Business",0,1997,0,49,381705,"east coast hip hop, golden age hip hop, hip hop, old school hip hop"
spotify:track:34MRi5GRWHFUa731JBxFEl,"Chief Rocka","Lords Of The Underground","Here Come The Lords",60,1993,52,41,226227,"conscious hip hop, east coast hip hop, new jersey rap"
spotify:track:3UhwS81S9L7i2byZCrhSAv,"Funky Child","Lords Of The Underground","Here Come The Lords",48,1993,52,41,226227,"conscious hip hop, east coast hip hop, new jersey rap"
spotify:track:2OqD6DC5vJgNUs3Mrflhgx,"Rock On",Funkdoobiest,"20 RAP GEMS",13,2009,33,38,120249,"hardcore hip hop"
spotify:track:2eIRE17ugmqHEjDbXWCalr,"Beautiful Mind",Cormega,"Legal Hustle",0,2004,0,43,132685,"east coast hip hop, queens hip hop"
spotify:track:54WKREsJHJeufgeJa4BxMc,"The Saga Remix",Cormega,"Special Edition - Realness & True Meaning",0,2004,0,43,132685,"east coast hip hop, queens hip hop"
spotify:track:02ooebYow4cW1xCQ5Pt11o,Invincible,Capone-N-Noreaga,"Cut Killer Show 2",2,2001,7,44,328441,"east coast hip hop, queens hip hop"
spotify:track:7mIpEnFlpeCbE4mrmBrSvp,"Bloody Money",Capone-N-Noreaga,"The War Report",0,1997,0,44,328441,"east coast hip hop, queens hip hop"
spotify:track:4rc9kQ6qyssElIccFJgbJb,"My Name Is",Eminem,"Curtain Call (Deluxe)",1,2005,1,88,74360232,"detroit hip hop, hip hop, rap"
spotify:track:1MYlx4dBtiyjn7K8YSyfzT,"The Real Slim Shady",Eminem,"Curtain Call (Deluxe)",0,2005,1,88,74360232,"detroit hip hop, hip hop, rap"
spotify:track:3FltYEzrDu20qIRjj4SNvD,"The Fresh Prince of Bel-Air","DJ Jazzy Jeff & The Fresh Prince","Greatest Hits",43,2002,49,52,366835,"golden age hip hop, old school hip hop, philly rap"
spotify:track:4afE92TVXxzgopsgsxc9py,"Shut It Down","Black Milk","Popular Demand",0,2007,0,40,115590,"alternative hip hop, detroit hip hop, instrumental hip hop"
spotify:track:2DGZf1LK471L0FQ5qqVYko,"So Gone","Black Milk","Popular Demand",0,2007,0,40,115590,"alternative hip hop, detroit hip hop, instrumental hip hop"
spotify:track:1f58xau99Rdn0hhcJTwRhz,"Uncommon Valor: A Vietnam Story","Jedi Mind Tricks","Servants In Heaven, Kings In Hell",50,2006,47,49,367605,"conscious hip hop, philly rap, political hip hop"
spotify:track:6NxecoV5x603IpZQHSmF2q,"Chains feat. Masta Killa and Killah Priest","R.A. The Rugged Man","Discovery Music Series – Hip/Hop",0,2007,0,45,134590,"conscious hip hop, east coast hip hop"
spotify:track:2LFXPIUZ15oUjUTTtjS2s3,"Give It Up",J-Live,"Wu-Tang Meets The Indie Culture",33,2005,47,44,44727,"alternative hip hop"
spotify:track:34noEddgCKzeP7qWxrioVW,"Keep Watch","Wu-Tang Clan","Keep Watch",24,2014,16,66,2799812,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap"
spotify:track:3HOlpb1e420vpLVcSbKJof,"I Got 5 on It",Luniz,"Greatest Hits",0,2005,0,56,309439,"g funk, oakland hip hop, west coast rap"
spotify:track:6SZlM0zKYqlDEp17qVBB4V,"Just A Friendly Game Of Baseball - Remix","Boyz N The Hood Motion Picture Sound Track","Boyz N The Hood Motion Picture Sound Track",0,2012,0,0,1467,
spotify:track:60fYTxC6OFcvJbQOmp7E6m,"One To Grow On (Growin' Like Weeds)","The UMC's","Good Times 2",0,2013,0,26,14047,"golden age hip hop"
spotify:track:6PtAXLUPaMEEWGMoVLevVI,"Shit's Real","Mic Geronimo","The Natural",30,1995,33,25,44094,"hardcore hip hop, queens hip hop"
spotify:track:6FtkjtJGoli1D3tztj8QPV,"Long Live the Kane","Big Daddy Kane","Long Live The Kane",26,1988,45,45,513959,"east coast hip hop, golden age hip hop, hardcore hip hop, old school hip hop"
spotify:track:2QZs1SKYICtQLlV2HRZmew,"Behind Bars","Slick Rick","Behind Bars",0,1994,0,51,665605,"bronx hip hop, east coast hip hop, golden age hip hop, old school hip hop"
spotify:track:4ZYM6R5nOZywxACY90Bsla,"Playaz Club","Rappin' 4-Tay","Don't Fight The Feelin'",57,1994,48,49,138347,"g funk"
